Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Personal Details,Chrome 64.0.3282.167,,2018-03-06 16:13:25,2018-03-06 16:15:40,"2m - 14,414s",PASSED
,,,,,,
Test Cases/Profile-UpdatePersonalDetails,Chrome 64.0.3282.167,,2018-03-06 16:13:26,2018-03-06 16:14:05,"38,911s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-06 16:13:27,2018-03-06 16:13:31,"3,718s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-06 16:13:31,2018-03-06 16:13:31,"0,262s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-06 16:13:31,2018-03-06 16:13:35,"4,478s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:13:35,2018-03-06 16:13:37,"1,740s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:13:37,2018-03-06 16:13:39,"1,642s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:13:39,2018-03-06 16:13:39,"0,017s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:13:39,2018-03-06 16:13:40,"0,795s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:13:40,2018-03-06 16:13:40,"0,012s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:13:40,2018-03-06 16:13:40,"0,840s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:13:40,2018-03-06 16:13:40,"0,034s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:13:40,2018-03-06 16:13:41,"0,237s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:41,2018-03-06 16:13:41,"0,232s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:41,2018-03-06 16:13:41,"0,235s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:41,2018-03-06 16:13:41,"0,240s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:41,2018-03-06 16:13:42,"0,294s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:13:42,2018-03-06 16:13:46,"4,186s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:13:46,2018-03-06 16:13:49,"3,404s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:49,2018-03-06 16:13:50,"0,370s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:13:50,2018-03-06 16:13:51,"0,837s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:13:51,2018-03-06 16:13:51,"0,461s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:13:51,2018-03-06 16:13:51,"0,032s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:13:51,2018-03-06 16:13:51,"0,099s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:13:51,2018-03-06 16:13:51,"0,065s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:13:51,2018-03-06 16:13:51,"0,080s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:13:51,2018-03-06 16:13:51,"0,096s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:13:51,2018-03-06 16:13:51,"0,081s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:13:51,2018-03-06 16:13:52,"0,808s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:52,2018-03-06 16:13:53,"0,383s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:53,2018-03-06 16:13:53,"0,313s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:53,2018-03-06 16:13:53,"0,256s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:13:53,2018-03-06 16:13:53,"0,248s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:13:53,2018-03-06 16:13:58,"4,800s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:13:58,2018-03-06 16:14:03,"4,259s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:03,2018-03-06 16:14:03,"0,334s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:03,2018-03-06 16:14:04,"0,805s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:14:04,2018-03-06 16:14:04,"0,540s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:04,2018-03-06 16:14:05,"0,853s",PASSED
,,,,,,
Test Cases/Profile-UpdateTelephonesAndEmails,Chrome 64.0.3282.167,,2018-03-06 16:14:05,2018-03-06 16:14:27,"21,828s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:05,2018-03-06 16:14:07,"1,837s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-06 16:14:07,2018-03-06 16:14:07,"0,274s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-06 16:14:07,2018-03-06 16:14:12,"4,458s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:14:12,2018-03-06 16:14:13,"1,536s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:13,2018-03-06 16:14:15,"1,648s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:15,2018-03-06 16:14:16,"0,852s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:16,2018-03-06 16:14:17,"0,856s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:17,2018-03-06 16:14:18,"0,870s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:18,2018-03-06 16:14:18,"0,822s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:18,2018-03-06 16:14:19,"0,762s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:19,2018-03-06 16:14:20,"0,313s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:20,2018-03-06 16:14:20,"0,250s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:20,2018-03-06 16:14:20,"0,270s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:20,2018-03-06 16:14:20,"0,278s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:20,2018-03-06 16:14:21,"0,257s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:21,2018-03-06 16:14:21,"0,691s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:14:21,2018-03-06 16:14:22,"0,597s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:22,2018-03-06 16:14:22,"0,100s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:22,2018-03-06 16:14:22,"0,079s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:22,2018-03-06 16:14:22,"0,096s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:22,2018-03-06 16:14:22,"0,000s",NOT_RUN
click,Chrome 64.0.3282.167,,2018-03-06 16:14:22,2018-03-06 16:14:23,"0,535s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:23,2018-03-06 16:14:23,"0,258s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:23,2018-03-06 16:14:23,"0,170s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:23,2018-03-06 16:14:24,"0,459s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:24,2018-03-06 16:14:24,"0,277s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:24,2018-03-06 16:14:24,"0,388s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:24,2018-03-06 16:14:25,"1,132s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:14:25,2018-03-06 16:14:26,"0,583s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:26,2018-03-06 16:14:26,"0,073s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:26,2018-03-06 16:14:26,"0,000s",NOT_RUN
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:26,2018-03-06 16:14:26,"0,000s",NOT_RUN
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:26,2018-03-06 16:14:27,"0,831s",PASSED
,,,,,,
Test Cases/Profile-AddPassport,Chrome 64.0.3282.167,,2018-03-06 16:14:27,2018-03-06 16:14:53,"25,668s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:27,2018-03-06 16:14:29,"1,904s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-06 16:14:29,2018-03-06 16:14:29,"0,194s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-06 16:14:29,2018-03-06 16:14:33,"4,261s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:14:33,2018-03-06 16:14:35,"1,596s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:35,2018-03-06 16:14:37,"1,719s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:37,2018-03-06 16:14:38,"0,881s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:38,2018-03-06 16:14:39,"0,992s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:14:39,2018-03-06 16:14:43,"4,128s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:43,2018-03-06 16:14:43,"0,285s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:43,2018-03-06 16:14:43,"0,281s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:43,2018-03-06 16:14:44,"0,249s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:14:44,2018-03-06 16:14:49,"5,314s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:49,2018-03-06 16:14:50,"0,748s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,415s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,099s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,065s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,081s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,148s",PASSED
waitForAlert,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:51,"0,035s",PASSED
acceptAlert,Chrome 64.0.3282.167,,2018-03-06 16:14:51,2018-03-06 16:14:51,"0,031s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:14:51,2018-03-06 16:14:52,"1,344s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:52,2018-03-06 16:14:53,"0,713s",PASSED
,,,,,,
Test Cases/Profile-AddIDCard,Chrome 64.0.3282.167,,2018-03-06 16:14:53,2018-03-06 16:15:16,"23,693s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:53,2018-03-06 16:14:55,"1,711s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-06 16:14:55,2018-03-06 16:14:55,"0,189s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-06 16:14:55,2018-03-06 16:14:59,"4,235s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:14:59,2018-03-06 16:15:01,"1,574s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:01,2018-03-06 16:15:02,"1,656s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:02,2018-03-06 16:15:04,"1,399s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:04,2018-03-06 16:15:04,"0,594s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:15:04,2018-03-06 16:15:08,"3,689s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:08,2018-03-06 16:15:08,"0,263s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:08,2018-03-06 16:15:08,"0,212s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:08,2018-03-06 16:15:09,"0,229s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:15:09,2018-03-06 16:15:13,"4,236s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:13,2018-03-06 16:15:14,"0,743s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,440s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,084s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,115s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,096s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,112s",PASSED
waitForAlert,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,004s",PASSED
acceptAlert,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,016s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:16,"1,166s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:15:16,2018-03-06 16:15:16,"0,735s",PASSED
,,,,,,
Test Cases/Profile-AddDrivingLicence,Chrome 64.0.3282.167,,2018-03-06 16:15:16,2018-03-06 16:15:39,"23,097s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-06 16:15:17,2018-03-06 16:15:18,"1,747s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-06 16:15:18,2018-03-06 16:15:19,"0,144s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-06 16:15:19,2018-03-06 16:15:23,"4,156s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:15:23,2018-03-06 16:15:24,"1,497s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:24,2018-03-06 16:15:26,"1,606s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:26,2018-03-06 16:15:27,"0,889s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:27,2018-03-06 16:15:27,"0,686s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:15:27,2018-03-06 16:15:31,"3,748s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:31,2018-03-06 16:15:31,"0,262s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:31,2018-03-06 16:15:32,"0,204s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:32,2018-03-06 16:15:32,"0,180s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:15:32,2018-03-06 16:15:36,"4,253s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:36,2018-03-06 16:15:37,"0,732s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,440s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,081s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,049s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,087s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,080s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:38,"0,101s",PASSED
waitForAlert,Chrome 64.0.3282.167,,2018-03-06 16:15:38,2018-03-06 16:15:38,"0,009s",PASSED
acceptAlert,Chrome 64.0.3282.167,,2018-03-06 16:15:38,2018-03-06 16:15:38,"0,008s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:15:38,2018-03-06 16:15:39,"1,143s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:15:39,2018-03-06 16:15:39,"0,695s",PASSED
